,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,opt,last_p,sar_diff_day
21,21,2019-06-27 10:05:00,13.71,13.74,13.75,13.7,2586700.0,35523392.0,2019-06-27 10:05:00,2019-06-27,0.08902086888853766,0.05270639926196187,0.03631446962657579,85.2417955990453,79.78910612238373,69.28605480077566,13.58034624,93.0232558139535,92.76485788113699,13.739061236869256,13.712528238558484,13.685995240247712,0.10999999999999943,-1.0,13.36,-0.40000000000000036
22,22,2019-06-27 10:10:00,13.75,13.79,13.8,13.73,4116700.0,56689888.0,2019-06-27 10:10:00,2019-06-27,0.09763515658217692,0.06169215072600488,0.035943005856172036,88.94888156110041,82.21352614832882,71.065971088408,13.614276992,96.15848406546077,93.5515360321562,13.80515206007904,13.74370289410151,13.68225372812398,0.05999999999999872,-1.0,13.36,-0.40000000000000036
23,23,2019-06-27 10:15:00,13.8,13.8,13.81,13.78,4546900.0,62736352.0,2019-06-27 10:15:00,2019-06-27,0.10406931182269474,0.07016758294534285,0.03390172887735189,89.60185428980164,82.6671652624906,71.40877829080475,13.6514215936,97.47396445070858,95.55190144337429,13.848749035440193,13.770774680685385,13.692800325930577,0.08000000000000007,-1.0,13.36,-0.40000000000000036
24,24,2019-06-27 10:20:00,13.8,13.78,13.82,13.77,2125000.0,29312064.0,2019-06-27 10:20:00,2019-06-27,0.1063288999818166,0.07739984635263761,0.028929053629178997,78.06967952604475,78.30950212382203,69.70022526843407,13.68313727488,93.6514570997328,95.7613018719674,13.851331416689352,13.789882250710896,13.72843308473244,0.08000000000000007,-1.0,13.36,-0.40000000000000036
25,25,2019-06-27 10:25:00,13.78,13.71,13.78,13.7,2004600.0,27534784.0,2019-06-27 10:25:00,2019-06-27,0.1013034616451538,0.08218056941114085,0.01912289223401295,49.94596488312635,65.18897289613741,64.14347777395545,13.82,76.05886450714051,89.06142868586066,13.86053165286241,13.792885514765985,13.72523937666956,-0.009999999999999787,-1.0,13.36,-0.40000000000000036
26,26,2019-06-27 10:30:00,13.72,13.7,13.72,13.65,2291200.0,31350564.0,2019-06-27 10:30:00,2019-06-27,0.09541397620594338,0.08482725077010136,0.01058672543584202,46.92721559668245,63.530122935490105,63.39655218722397,13.82,53.53955375253542,74.41662511980293,13.867307700990901,13.782832852666814,13.698358004342728,-0.040000000000000924,-1.0,13.36,-0.40000000000000036
27,27,2019-06-27 10:35:00,13.69,13.74,13.74,13.68,1005500.0,13777600.0,2019-06-27 10:35:00,2019-06-27,0.09290325141788891,0.08644245089965888,0.006460800518230031,59.2438008648959,67.17502546009472,65.0791964553499,13.803,42.45098039215686,57.34979955061095,13.848475126190884,13.770912248476328,13.693349370761773,-0.049999999999998934,-1.0,13.36,-0.379999999999999
28,28,2019-06-27 10:40:00,13.74,13.7,13.74,13.69,730100.0,10017088.0,2019-06-27 10:40:00,2019-06-27,0.08668654964470868,0.08649127064866884,0.000195278996039841,45.922325394929416,60.57105231076856,62.124866223195696,13.787700000000001,37.254901960783904,44.415145368492084,13.81770365939493,13.756254493418325,13.69480532744172,-0.10000000000000142,-1.0,13.36,-0.379999999999999
29,29,2019-06-27 10:45:00,13.72,13.73,13.74,13.7,1115800.0,15311680.0,2019-06-27 10:45:00,2019-06-27,0.08322119583786147,0.08583725568650737,-0.0026160598486458936,55.33741661932354,63.506427778608085,63.413479167191156,13.77393,43.1372549019606,40.947712418300476,13.777093662091001,13.744597508483743,13.712101354876484,-0.049999999999998934,-1.0,13.36,-0.379999999999999
30,30,2019-06-27 10:50:00,13.73,13.76,13.78,13.72,1266400.0,17420796.0,2019-06-27 10:50:00,2019-06-27,0.08195094774602651,0.0850599940984112,-0.003109046352384681,63.320036236838384,66.24763135972134,64.65739259872305,13.65,47.058823529411505,42.4836601307187,13.787025887910701,13.740378272760864,13.693730657611027,0.049999999999998934,-1.0,13.36,-0.379999999999999
31,31,2019-06-27 10:55:00,13.76,13.74,13.77,13.7,1575700.0,21630522.0,2019-06-27 10:55:00,2019-06-27,0.07842638359719878,0.08373327199816871,-0.0053068884009699335,55.11155164014949,62.81606094659622,63.1760566679935,13.656500000000001,54.901960784313644,48.366013071895274,13.778632106368118,13.739440270492452,13.700248434616785,0.040000000000000924,-1.0,13.36,-0.379999999999999
32,32,2019-06-27 11:00:00,13.74,13.74,13.75,13.72,874900.0,12014464.0,2019-06-27 11:00:00,2019-06-27,0.07477122497806121,0.0819408625941472,-0.007169637616085994,55.11155164014948,62.81606094659622,63.1760566679935,13.662675000000002,56.86274509803909,52.9411764705881,13.778903751590573,13.739711915714906,13.70052007983924,0.0,-1.0,13.36,-0.379999999999999
33,33,2019-06-27 11:05:00,13.74,13.77,13.78,13.73,824700.0,11341760.0,2019-06-27 11:05:00,2019-06-27,0.07344856537642386,0.08024240315060253,-0.0067938377741786765,65.57190047333114,65.96335741721788,64.48228227704574,13.668541250000002,66.06334841628961,59.276018099547464,13.773148878194387,13.743755001289088,13.714361124383789,0.07000000000000028,-1.0,13.36,-0.3699999999999992
34,34,2019-06-27 11:10:00,13.77,13.77,13.78,13.76,1093900.0,15070014.0,2019-06-27 11:10:00,2019-06-27,0.07157527292070753,0.07850897710462354,-0.006933704183916006,65.57190047333114,65.96335741721788,64.48228227704574,13.674114187500003,79.18552036199104,67.37053795877326,13.777216850867063,13.75008753094157,13.722958211016078,0.03999999999999915,-1.0,13.36,-0.3699999999999992
35,35,2019-06-27 11:15:00,13.76,13.77,13.78,13.75,615100.0,8466760.0,2019-06-27 11:15:00,2019-06-27,0.06929192102040993,0.07666556588778081,-0.007373644867370882,65.57190047333114,65.96335741721788,64.48228227704574,13.679408478125003,91.5384615384617,78.92911010558079,13.78621581127298,13.756821934365746,13.727428057458512,0.009999999999999787,-1.0,13.36,-0.3699999999999992
36,36,2019-06-27 11:20:00,13.77,13.78,13.78,13.75,972900.0,13397244.0,2019-06-27 11:20:00,2019-06-27,0.0675110393774947,0.07483466058572359,-0.007323621208228895,70.1070275459068,67.16603714514308,64.94119857421012,13.684438054218752,94.10256410256422,88.27551533433899,13.7910064861911,13.763877166263512,13.736747846335925,0.03999999999999915,-1.0,13.36,-0.3699999999999992
37,37,2019-06-27 11:25:00,13.78,13.75,13.78,13.74,769700.0,10594694.0,2019-06-27 11:25:00,2019-06-27,0.06295324276976721,0.07245837702253231,-0.009505134252765099,46.92640973604327,60.203969780406766,62.43751992881555,13.689216151507814,84.16666666666701,89.93589743589764,13.786427238689793,13.76683132075486,13.747235402819928,0.009999999999999787,-1.0,13.36,-0.3699999999999992
